firstName,lastName,teamName,source,GP,MIN_avg,PTS_avg,REB_avg,AST_avg,STL_avg,BLK_avg,TO_avg,FG2_pct,FG3_pct,FT_pct,EVAL_avg
FILIP,PETRUSEV,Olympiacos Piraeus;Crvena Zvezda Meridianbet Belgrade,EuroLeague,32.0,20.1453125,13.0,4.6,1.6,0.7,0.5,1.2,0.624,0.268,0.675,14.7
ROMAN,SORKIN,Maccabi Rapyd Tel Aviv,EuroLeague,33.0,23.36060606060606,12.9,4.1,1.1,0.5,0.5,1.5,0.5770000000000001,0.341,0.847,11.9
ROKAS,JOKUBAITIS,Maccabi Rapyd Tel Aviv,EuroLeague,28.0,24.464285714285715,12.6,3.2,4.6,1.0,0.0,2.6,0.602,0.371,0.857,15.6
ELIE,OKOBO,AS Monaco,EuroLeague,35.0,25.16333333333333,12.5,1.9,4.1,1.1,0.2,1.8,0.498,0.389,0.878,13.4
STERLING,BROWN,Partizan Mozzart Bet Belgrade,EuroLeague,34.0,25.762254901960784,12.4,3.0,2.1,0.8,0.2,1.4,0.575,0.469,0.929,11.5
DZANAN,MUSA,Real Madrid,EuroLeague,35.0,21.78619047619048,12.2,2.9,2.0,0.4,0.1,1.7,0.5329999999999999,0.37200000000000005,0.812,12.5
MARKUS,HOWARD,Baskonia Vitoria-Gasteiz,EuroLeague,32.0,22.3390625,12.1,1.3,1.5,0.3,0.0,1.4,0.444,0.33899999999999997,0.85,6.2
ISAIA,CORDINIER,Virtus Bologna,EuroLeague,34.0,26.9156862745098,12.0,3.9,3.9,0.7,0.3,2.0,0.568,0.27699999999999997,0.7979999999999999,13.6
LEVI,RANDOLPH,Maccabi Rapyd Tel Aviv,EuroLeague,33.0,27.725757575757576,12.0,3.8,1.8,0.6,0.0,1.2,0.48200000000000004,0.39,0.915,12.2
FACUNDO,CAMPAZZO,Real Madrid,EuroLeague,39.0,25.74017094017094,12.0,3.1,6.0,1.0,0.1,2.3,0.561,0.33799999999999997,0.86,17.5
SHAVON,SHIELDS,EA7 Emporio Armani Milan,EuroLeague,28.0,27.55535714285714,12.0,3.6,2.6,0.7,0.0,1.5,0.532,0.42200000000000004,0.727,13.3
SHANE,LARKIN,Anadolu Efes Istanbul,EuroLeague,28.0,26.198214285714283,11.7,2.6,4.5,1.2,0.0,1.8,0.48100000000000004,0.39299999999999996,0.8690000000000001,15.5
TYRIQUE,JONES,Partizan Mozzart Bet Belgrade,EuroLeague,32.0,22.633854166666666,11.6,6.0,1.0,1.1,0.7,1.7,0.632,0.0,0.664,16.0
ALPHA,DIALLO,AS Monaco,EuroLeague,35.0,26.562380952380952,11.5,4.0,1.7,1.0,0.3,1.2,0.606,0.44,0.667,12.2
NANDO,DE COLO,LDLC ASVEL Villeurbanne,EuroLeague,32.0,20.593229166666667,11.5,1.7,4.5,0.8,0.0,2.3,0.528,0.385,0.948,13.1
YANNI,WETZELL,ALBA Berlin,EuroLeague,28.0,20.853571428571428,11.2,4.4,1.6,0.8,0.2,1.5,0.573,0.35700000000000004,0.6579999999999999,11.4
WADE,BALDWIN IV,Fenerbahce Beko Istanbul,EuroLeague,27.0,24.224691358024693,11.1,2.7,3.7,0.9,0.1,2.1,0.47600000000000003,0.309,0.797,11.0
TYSON,WARD,Paris Basketball,EuroLeague,38.0,26.346929824561403,11.0,4.9,1.3,0.9,0.2,1.0,0.589,0.332,0.759,11.3
CHIMEZIE,METU,FC Barcelona,EuroLeague,24.0,20.038194444444446,11.0,4.8,1.0,0.6,0.6,1.7,0.624,0.364,0.75,11.8
MARKO,GUDURIC,Fenerbahce Beko Istanbul,EuroLeague,36.0,22.038425925925925,10.9,2.6,3.1,0.7,0.1,2.0,0.5820000000000001,0.384,0.883,11.9
TARIK,BIBEROVIC,Fenerbahce Beko Istanbul,EuroLeague,37.0,22.48513513513513,10.4,3.1,1.4,0.5,0.2,1.2,0.514,0.43200000000000005,0.833,8.4
SHABAZZ,NAPIER,FC Bayern Munich,EuroLeague,33.0,20.602020202020203,10.3,2.3,3.2,1.1,0.0,1.9,0.544,0.41100000000000003,0.9440000000000001,11.6
CODI,MILLER-MCINTYRE,Crvena Zvezda Meridianbet Belgrade,EuroLeague,35.0,25.374285714285715,10.3,3.1,4.6,0.6,0.0,2.1,0.525,0.305,0.7140000000000001,10.0
ANDREAS,OBST,FC Bayern Munich,EuroLeague,36.0,23.862962962962964,10.2,1.9,1.5,0.5,0.0,1.2,0.41200000000000003,0.425,0.741,7.0
WALTER,TAVARES,Real Madrid,EuroLeague,40.0,23.26333333333333,10.2,6.6,1.2,0.7,1.2,2.0,0.738,0.0,0.722,15.3
MAODO,LO,Paris Basketball,EuroLeague,29.0,17.17183908045977,10.0,1.5,2.1,0.4,0.0,1.3,0.575,0.33299999999999996,0.778,8.0
DARIO,BRIZUELA,FC Barcelona,EuroLeague,36.0,18.34583333333333,10.0,1.4,2.2,0.4,0.1,1.3,0.5329999999999999,0.46,0.7959999999999999,8.4
ISAIAH,CANAAN,Crvena Zvezda Meridianbet Belgrade,EuroLeague,35.0,21.01904761904762,10.0,1.5,1.3,0.6,0.0,0.9,0.46799999999999997,0.38299999999999995,0.8640000000000001,6.7
TIMOTHE,LUWAWU-CABARROT,Baskonia Vitoria-Gasteiz,EuroLeague,26.0,24.941025641025643,10.0,3.2,2.0,0.8,0.2,2.0,0.434,0.337,0.848,7.3
JUANCHO,HERNANGOMEZ,Panathinaikos AKTOR Athens,EuroLeague,40.0,27.32125,10.0,7.0,1.4,0.9,0.3,0.6,0.569,0.43,0.631,15.3
BRANDON,DAVIES,Partizan Mozzart Bet Belgrade,EuroLeague,33.0,18.717676767676767,9.9,3.6,1.5,0.9,0.4,1.4,0.514,0.49200000000000005,0.595,10.8
TREVION,WILLIAMS,ALBA Berlin;Maccabi Rapyd Tel Aviv,EuroLeague,32.0,19.89739583333333,9.8,6.5,2.4,0.6,0.5,2.4,0.5489999999999999,0.267,0.667,10.9
GABRIELE,PROCIDA,ALBA Berlin,EuroLeague,26.0,20.512179487179488,9.7,2.2,0.8,0.7,0.3,1.2,0.619,0.21899999999999997,0.7859999999999999,7.7
NIKOLAOS,ROGKAVOPOULOS,Baskonia Vitoria-Gasteiz,EuroLeague,33.0,18.716666666666665,9.7,3.9,1.0,0.5,0.1,0.5,0.527,0.435,0.8109999999999999,9.6
