playerRanking,gamesPlayed,gamesStarted,minutesPlayed,pointsScored,twoPointersMade,twoPointersAttempted,twoPointersPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,offensiveRebounds,defensiveRebounds,totalRebounds,assists,steals,turnovers,blocks,blocksAgainst,foulsCommited,foulsDrawn,pir,player.code,player.name,player.age,player.imageUrl,player.team.code,player.team.tvCodes,player.team.name,player.team.imageUrl
60,24.0,18.0,21.780555555555555,9.5,2.7,5.3,50%,0.8,2.6,29%,2.0,2.4,81%,0.4,1.2,1.6,5.7,0.6,2.2,0.0,0.6,1.2,2.4,10.8,008780,"HERMANNSSON, MARTIN",30,https://media-cdn.incrowdsports.com/4032c082-43d3-42a6-aaad-00ff98c2a756.png,BER,BER,ALBA Berlin,https://media-cdn.incrowdsports.com/ccc34858-22b0-47dc-904c-9940b0a16ff3.png
61,39.0,35.0,21.361538461538462,9.5,3.8,5.7,65.9%,0.0,0.1,0%,1.9,2.8,70.4%,2.0,3.0,5.0,1.2,0.6,0.9,1.3,0.3,2.2,2.2,13.4,004887,"POIRIER, VINCENT",31,https://media-cdn.incrowdsports.com/d24532c7-b1b3-42b5-b5e9-232d495fce34.png,IST,EFS,Anadolu Efes Istanbul,https://media-cdn.cortextech.io/9a463aa2-ceb2-481c-9a95-1cddee0a248e.png
61,39.0,36.0,26.32991452991453,9.5,1.9,3.4,55.6%,1.5,3.5,44.1%,1.1,1.4,79.2%,0.6,1.4,2.0,4.5,0.9,1.2,0.4,0.2,1.9,1.5,11.7,011078,"THOMPSON, DARIUS",29,https://media-cdn.cortextech.io/881d7dbd-8ffa-4eef-ba14-e0ea68c1be29.png,IST,EFS,Anadolu Efes Istanbul,https://media-cdn.cortextech.io/9a463aa2-ceb2-481c-9a95-1cddee0a248e.png
63,35.0,19.0,21.197619047619046,9.4,1.8,3.4,52.1%,1.3,3.5,36.9%,2.0,2.2,89.7%,0.6,2.3,2.9,1.7,0.6,1.1,0.1,0.1,2.8,2.3,9.0,009754,"LOYD, JORDAN",31,https://media-cdn.cortextech.io/f21f9f12-b440-41a3-87d7-aa3bbe6a36f3.png,MCO;TEL,ASM;MTA,AS Monaco;Maccabi Rapyd Tel Aviv,https://media-cdn.incrowdsports.com/89ed276a-2ba3-413f-8ea2-b3be209ca129.png;https://media-cdn.incrowdsports.com/5c55ef14-29df-4328-bd52-a7a64c432350.png
64,27.0,11.0,18.57469135802469,9.2,1.4,2.9,48.1%,1.7,4.3,39.1%,1.4,1.8,81.2%,0.5,1.0,1.4,2.9,0.5,1.3,0.1,0.3,1.9,2.2,8.3,000848,"NEDOVIC, NEMANJA",33,https://media-cdn.cortextech.io/664a91ef-82db-43d9-81c7-30bcbb9d8139.png,RED,CZV,Crvena Zvezda Meridianbet Belgrade,https://media-cdn.incrowdsports.com/d2eef4a8-62df-4fdd-9076-276004268515.png
65,39.0,2.0,21.746153846153845,9.1,1.1,2.5,45.4%,1.3,3.6,36.6%,2.9,3.1,94.1%,0.4,1.6,2.0,4.8,0.8,1.6,0.1,0.3,1.6,2.8,12.2,001926,"SLOUKAS, KOSTAS",34,https://media-cdn.cortextech.io/0a26c0f0-41a7-4ffc-8de1-e7cecbcc8338.png,PAN,PAO,Panathinaikos AKTOR Athens,https://media-cdn.incrowdsports.com/e3dff28a-9ec6-4faf-9d96-ecbc68f75780.png
66,35.0,35.0,27.185714285714287,9.0,2.0,3.5,57.7%,1.1,2.6,43.5%,1.5,2.3,67.5%,1.3,2.9,4.1,2.6,0.8,1.7,0.1,0.3,2.3,2.7,11.6,004866,"KALINIC, NIKOLA",33,https://media-cdn.cortextech.io/8b1112da-0b01-4305-b27a-c6424ef1f54f.png,RED,CZV,Crvena Zvezda Meridianbet Belgrade,https://media-cdn.incrowdsports.com/d2eef4a8-62df-4fdd-9076-276004268515.png
67,33.0,27.0,21.975252525252525,9.0,3.8,5.6,68.1%,0.0,0.0,0%,1.4,2.4,57%,2.7,3.4,6.2,0.8,0.8,0.9,0.5,0.4,2.8,2.1,12.4,010545,"SAKO, NEAL",26,https://media-cdn.cortextech.io/78789f26-e267-40eb-94ad-d646e026f6f9.png,ASV,ASV,LDLC ASVEL Villeurbanne,https://media-cdn.incrowdsports.com/e33c6d1a-95ca-4dbc-b8cb-0201812104cc.png
67,24.0,13.0,21.17361111111111,9.0,3.3,6.0,55.9%,0.3,0.6,50%,1.5,1.9,76.1%,1.1,2.5,3.6,1.9,1.1,0.9,0.5,0.0,2.3,2.2,11.6,000925,"VESELY, JAN",34,https://media-cdn.cortextech.io/7dff7151-19e6-44b3-ab0c-214861899ad0.png,BAR,BAR,FC Barcelona,https://media-cdn.incrowdsports.com/35dfa503-e417-481f-963a-bdf6f013763e.png
69,26.0,23.0,24.183333333333334,8.9,0.7,1.4,45.9%,2.0,5.7,35.6%,1.5,1.5,95%,0.4,2.0,2.4,6.7,0.5,2.9,0.0,0.2,1.3,2.1,11.7,011193,"BLATT, TAMIR",27,https://media-cdn.cortextech.io/780f9309-2c9f-4a43-be7f-9f7a7182d133.png,TEL,MTA,Maccabi Rapyd Tel Aviv,https://media-cdn.incrowdsports.com/5c55ef14-29df-4328-bd52-a7a64c432350.png
70,33.0,11.0,18.870202020202022,8.9,1.6,2.8,57.6%,1.7,3.7,45.9%,0.6,0.7,86.4%,0.2,1.2,1.4,1.6,0.7,0.5,0.3,0.1,1.9,1.0,8.1,006590,"BEAUBOIS, RODRIGUE",36,https://media-cdn.cortextech.io/281e3d42-9999-46b7-bbe4-4b03c18af2c5.png,IST,EFS,Anadolu Efes Istanbul,https://media-cdn.cortextech.io/9a463aa2-ceb2-481c-9a95-1cddee0a248e.png
71,38.0,4.0,16.58815789473684,8.8,3.6,5.0,71.6%,0.0,0.0,0%,1.6,2.3,68.5%,2.0,2.2,4.2,0.5,0.5,1.1,1.0,0.3,2.4,2.2,11.1,012788,"OTURU, DAN",25,https://media-cdn.cortextech.io/3bdc3cf1-638b-4095-8b2b-099d31ce686b.png,IST,EFS,Anadolu Efes Istanbul,https://media-cdn.cortextech.io/9a463aa2-ceb2-481c-9a95-1cddee0a248e.png
72,34.0,20.0,21.501470588235293,8.7,3.4,4.7,71.4%,0.0,0.0,0%,2.0,2.9,69.1%,1.9,3.5,5.4,0.9,0.5,0.7,1.1,0.1,1.7,2.6,14.4,011196,"HALL, DONTA",27,https://media-cdn.cortextech.io/0d150885-9a59-4287-8f10-dfea2434ace6.png,BAS,BKN,Baskonia Vitoria-Gasteiz,https://media-cdn.incrowdsports.com/e324a6af-2a72-443e-9813-8bf2d364ddab.png
73,35.0,20.0,22.906190476190478,8.6,2.1,4.5,47.8%,0.7,2.0,35.7%,2.2,2.7,82.8%,0.2,1.9,2.1,3.4,0.7,1.8,0.1,0.2,2.7,2.3,8.6,007982,"WILLIAMS-GOSS, NIGEL",30,https://media-cdn.cortextech.io/657693b6-df7a-4f83-b8d6-10c2ed158dce.png,OLY,OLY,Olympiacos Piraeus,https://media-cdn.incrowdsports.com/789423ac-3cdf-4b89-b11c-b458aa5f59a6.png
