playerRanking,gamesPlayed,gamesStarted,minutesPlayed,pointsScored,twoPointersMade,twoPointersAttempted,twoPointersPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,offensiveRebounds,defensiveRebounds,totalRebounds,assists,steals,turnovers,blocks,blocksAgainst,foulsCommited,foulsDrawn,pir,player.code,player.name,player.age,player.imageUrl,player.team.code,player.team.tvCodes,player.team.name,player.team.imageUrl
132,23.0,9.0,19.06376811594203,5.6,1.7,2.5,67.2%,0.5,2.4,19.6%,0.8,1.0,75%,1.0,1.9,2.8,1.1,0.3,0.8,0.5,0.1,2.9,1.7,5.1,006919,"OLINDE, LOUIS",26,https://media-cdn.cortextech.io/c453742e-1388-429c-aeaa-dc36c2f07c33.png,BER,BER,ALBA Berlin,https://media-cdn.incrowdsports.com/ccc34858-22b0-47dc-904c-9940b0a16ff3.png
133,32.0,16.0,19.616666666666667,5.6,1.3,2.3,56.2%,0.8,2.8,29.2%,0.6,1.0,57.6%,1.1,2.2,3.3,0.4,0.4,0.9,0.2,0.2,2.3,1.3,4.5,006251,"SCHNEIDER, TIM",27,https://media-cdn.incrowdsports.com/3c4d48d7-a0e1-4375-9246-2d9fc7bf969a.png,BER,BER,ALBA Berlin,https://media-cdn.incrowdsports.com/ccc34858-22b0-47dc-904c-9940b0a16ff3.png
134,33.0,17.0,13.07020202020202,5.5,1.3,2.1,61.8%,0.7,1.8,36.1%,1.0,1.2,78%,0.9,1.5,2.4,0.7,0.4,0.6,0.5,0.1,2.3,1.1,5.3,002968,"SANLI, SERTAC",33,https://media-cdn.incrowdsports.com/253a34da-7f58-4354-a9a5-cc06507200c6.png,ULK,FBB,Fenerbahce Beko Istanbul,https://media-cdn.cortextech.io/3b7f020e-5b39-49a1-b4b2-efea918edab7.png
135,27.0,11.0,14.427777777777779,5.4,0.6,1.2,50%,1.3,3.0,42.7%,0.4,0.4,90.9%,0.3,0.9,1.2,0.3,0.1,0.6,0.0,0.2,1.7,0.5,2.7,010316,"AJINCA, MELVIN",20,https://media-cdn.cortextech.io/95228ab6-9d8d-4d35-a796-1734d65e28fb.png,ASV,ASV,LDLC ASVEL Villeurbanne,https://media-cdn.incrowdsports.com/e33c6d1a-95ca-4dbc-b8cb-0201812104cc.png
136,30.0,21.0,23.615555555555556,5.4,0.8,1.7,49%,1.0,3.0,34.8%,0.6,0.8,79.2%,0.3,2.1,2.4,4.1,1.2,1.3,0.1,0.3,2.7,1.3,7.2,006739,"PAJOLA, ALESSANDRO",25,https://media-cdn.cortextech.io/ccc6aac9-c905-4988-a055-0a0bc8b13010.png,VIR,VIR,Virtus Bologna,https://media-cdn.cortextech.io/1362801d-dd09-4fd0-932d-ead56063ab77.png
137,34.0,17.0,13.02156862745098,5.3,2.1,3.4,63.5%,0.0,0.0,0%,1.0,1.7,59.6%,0.9,1.8,2.7,0.4,0.1,0.7,0.5,0.2,2.3,1.5,5.4,005504,"BIRUTIS, LAURYNAS",27,https://media-cdn.cortextech.io/ec9e23f4-7618-42d7-9ccd-05bb89fe2e4b.png,ZAL,ZAL,Zalgiris Kaunas,https://media-cdn.incrowdsports.com/0aa09358-3847-4c4e-b228-3582ee4e536d.png
138,23.0,5.0,11.970289855072464,5.3,0.7,1.4,51.5%,1.1,3.0,35.7%,0.5,0.8,63.2%,0.1,0.8,0.9,1.4,0.5,1.1,0.0,0.1,1.4,1.4,3.9,013378,"RATHAN-MAYES, XAVIER",30,https://media-cdn.cortextech.io/be33c25c-a375-46b0-8fa6-b978b93ac5f0.png,MAD,RMB,Real Madrid,https://media-cdn.incrowdsports.com/371b0d9b-9250-4c09-bda7-0686cf024657.png
139,34.0,12.0,16.351470588235294,5.2,1.6,3.4,48.3%,0.4,1.1,41.7%,0.6,1.0,57.1%,0.3,1.4,1.6,1.6,1.1,1.1,0.2,0.4,2.4,1.3,4.4,013371,"HARRISON, SHAQUILLE",31,https://media-cdn.cortextech.io/3b994fa6-5da8-4559-ac9a-6c6400e3fd99.png,ASV,ASV,LDLC ASVEL Villeurbanne,https://media-cdn.incrowdsports.com/e33c6d1a-95ca-4dbc-b8cb-0201812104cc.png
140,33.0,6.0,17.421212121212122,5.2,0.2,0.6,33.3%,1.3,3.1,42.7%,0.7,0.8,88.9%,0.7,1.2,1.9,0.7,0.7,0.2,0.0,0.1,2.3,1.8,5.2,007990,"DIBARTOLOMEO, JOHN",33,https://media-cdn.cortextech.io/8d21b46c-77f3-4241-834a-c819a514fc58.png,TEL,MTA,Maccabi Rapyd Tel Aviv,https://media-cdn.incrowdsports.com/5c55ef14-29df-4328-bd52-a7a64c432350.png
141,25.0,5.0,15.576666666666668,5.0,1.6,2.9,53.4%,0.4,1.6,27.5%,0.5,0.8,65%,0.6,1.9,2.5,3.4,0.8,1.3,0.0,0.1,2.1,2.0,7.4,010106,"NUNEZ, JUAN",20,https://media-cdn.cortextech.io/d990406b-fe36-45c0-9561-61f93c4ced9b.png,BAR,BAR,FC Barcelona,https://media-cdn.incrowdsports.com/35dfa503-e417-481f-963a-bdf6f013763e.png
142,38.0,1.0,17.27675438596491,4.9,1.0,1.7,61.9%,0.8,2.2,37.3%,0.4,0.7,60.7%,1.3,2.8,4.1,1.1,0.6,0.7,0.4,0.0,2.8,1.5,6.8,002849,"MELLI, NICOLO",33,https://media-cdn.cortextech.io/101176a1-0695-40e3-a635-b6ed80d17e6e.png,ULK,FBB,Fenerbahce Beko Istanbul,https://media-cdn.cortextech.io/3b7f020e-5b39-49a1-b4b2-efea918edab7.png
143,31.0,6.0,14.979569892473119,4.9,1.6,2.8,58.6%,0.4,1.5,23.9%,0.5,0.7,77.3%,0.9,1.9,2.8,0.6,0.6,0.4,0.1,0.2,1.4,0.8,5.5,007464,"PARRA, JOEL",24,https://media-cdn.cortextech.io/f7ed6b45-8416-4bfc-8d40-51b9635dae75.png,BAR,BAR,FC Barcelona,https://media-cdn.incrowdsports.com/35dfa503-e417-481f-963a-bdf6f013763e.png
144,25.0,5.0,15.460666666666667,4.8,1.8,2.8,65.2%,0.2,0.8,31.6%,0.5,0.8,68.4%,1.2,1.9,3.1,0.5,0.5,0.8,0.2,0.2,2.1,1.3,5.6,011244,"DA SILVA, OSCAR",26,https://media-cdn.cortextech.io/1cd31b45-1360-4dc2-a279-504d2a1c44e8.png,MUN,BAY,FC Bayern Munich,https://media-cdn.incrowdsports.com/817b0e58-d595-4b09-ab0b-1e7cc26249ff.png
145,38.0,29.0,18.768859649122806,4.8,0.7,1.2,57.4%,0.9,2.6,34%,0.7,1.0,69.2%,0.6,2.2,2.8,2.1,0.6,0.8,0.3,0.1,1.9,0.9,6.2,001255,"PAPANIKOLAOU, KOSTAS",34,https://media-cdn.cortextech.io/92915bcc-f8c5-44d0-87c0-6fed89e69b69.png,OLY,OLY,Olympiacos Piraeus,https://media-cdn.incrowdsports.com/789423ac-3cdf-4b89-b11c-b458aa5f59a6.png
146,33.0,5.0,14.193939393939393,4.8,1.5,2.7,54.4%,0.4,1.5,29.2%,0.5,0.9,62.1%,0.4,1.4,1.8,1.6,0.7,0.7,0.1,0.3,2.1,1.5,4.8,011247,"FELIZ, ANDRES",27,https://media-cdn.cortextech.io/88b1e489-c8a9-4cd8-8137-db11145b579a.png,MAD,RMB,Real Madrid,https://media-cdn.incrowdsports.com/371b0d9b-9250-4c09-bda7-0686cf024657.png
146,33.0,6.0,16.242929292929293,4.8,1.0,1.7,56.1%,0.6,2.3,27.6%,0.9,1.2,79.5%,0.9,1.9,2.8,0.9,0.5,0.5,0.4,0.1,1.4,1.2,6.0,002084,"POLONARA, ACHILLE",33,https://media-cdn.incrowdsports.com/1cbaecd9-0811-4c56-b6db-96ca70ea1141.png,VIR,VIR,Virtus Bologna,https://media-cdn.cortextech.io/1362801d-dd09-4fd0-932d-ead56063ab77.png
148,34.0,2.0,15.800980392156863,4.8,0.9,1.6,51.8%,0.7,2.0,35.3%,0.9,1.3,72.7%,0.5,1.5,2.0,0.8,0.7,0.3,0.1,0.1,1.6,1.0,5.0,006436,"GIEDRAITIS, ROKAS",32,https://media-cdn.incrowdsports.com/514eb8b6-1987-43f8-b24b-748065632795.png,RED,CZV,Crvena Zvezda Meridianbet Belgrade,https://media-cdn.incrowdsports.com/d2eef4a8-62df-4fdd-9076-276004268515.png
149,33.0,10.0,17.671212121212122,4.8,0.6,1.2,48.7%,1.1,2.9,36.8%,0.4,0.5,82.4%,0.1,1.4,1.5,2.7,0.7,1.0,0.1,0.1,2.2,1.2,5.2,007947,"VILDOZA, LUCA",29,https://media-cdn.cortextech.io/45cd50c3-c3b7-4cf6-92ee-f7955216e2da.png,OLY,OLY,Olympiacos Piraeus,https://media-cdn.incrowdsports.com/789423ac-3cdf-4b89-b11c-b458aa5f59a6.png
150,37.0,18.0,17.006756756756758,4.5,0.4,0.8,50%,1.1,2.8,37.9%,0.6,0.6,91.3%,0.8,1.3,2.1,0.7,0.5,0.3,0.1,0.1,2.4,1.2,4.2,003478,"ABRINES, ALEX",31,https://media-cdn.incrowdsports.com/47795ee0-c812-487a-be8a-67900a5ab8d5.png,BAR,BAR,FC Barcelona,https://media-cdn.incrowdsports.com/35dfa503-e417-481f-963a-bdf6f013763e.png
151,35.0,17.0,14.864285714285714,4.5,0.9,1.7,49.2%,0.8,2.6,30.4%,0.4,0.4,100%,0.7,1.1,1.8,0.3,0.4,0.5,0.1,0.2,1.3,0.3,2.6,004197,"OUATTARA, YAKUBA",32,https://media-cdn.cortextech.io/7a130397-0f2a-47a2-adc3-eed775bcbf37.png,PRS,PBB,Paris Basketball,https://media-cdn.incrowdsports.com/a033e5b3-0de7-48a3-98d9-d9a4b9df1f39.png
152,33.0,17.0,22.01313131313131,4.5,0.6,1.3,46.5%,0.8,2.2,38%,0.8,1.1,74.3%,0.9,2.8,3.7,1.2,1.0,0.7,0.3,0.2,2.5,1.6,6.5,002676,"BUTKEVICIUS, ARNAS",32,https://media-cdn.cortextech.io/141e5608-9388-4c11-96ed-fbe12fa4a1bf.png,ZAL,ZAL,Zalgiris Kaunas,https://media-cdn.incrowdsports.com/0aa09358-3847-4c4e-b228-3582ee4e536d.png
153,23.0,11.0,13.681884057971015,4.4,1.0,2.0,50%,0.5,1.9,27.9%,0.9,1.1,80%,0.8,1.7,2.5,0.7,0.4,0.5,0.2,0.1,1.5,0.8,4.4,013365,"BROWN, VITTO",29,https://media-cdn.cortextech.io/6de3c594-00fd-4ad5-aa95-505a5c2b11ca.png,MCO,ASM,AS Monaco,https://media-cdn.incrowdsports.com/89ed276a-2ba3-413f-8ea2-b3be209ca129.png
154,33.0,22.0,19.44242424242424,4.4,0.7,1.7,43.6%,0.8,2.1,40.6%,0.4,0.5,77.8%,0.3,1.5,1.8,1.0,0.5,0.6,0.1,0.1,2.5,0.9,3.2,003526,"LIGHTY, DAVID",36,https://media-cdn.cortextech.io/6eb519a5-da37-4b4b-bc03-467432aa3c8b.png,ASV,ASV,LDLC ASVEL Villeurbanne,https://media-cdn.incrowdsports.com/e33c6d1a-95ca-4dbc-b8cb-0201812104cc.png
155,29.0,18.0,10.444252873563219,4.4,1.9,2.7,70.1%,0.0,0.0,0%,0.7,1.0,66.7%,1.4,2.0,3.3,0.0,0.1,0.9,0.2,0.1,1.8,1.0,5.2,006568,"FALL, YOUSSOUPHA",29,https://media-cdn.cortextech.io/d1ddd241-43e3-4ae0-bfd7-e382bbeb97a6.png,BAR,BAR,FC Barcelona,https://media-cdn.incrowdsports.com/35dfa503-e417-481f-963a-bdf6f013763e.png
156,26.0,1.0,9.12948717948718,4.3,1.6,2.4,67.7%,0.1,0.3,25%,0.9,1.2,76.7%,1.0,1.1,2.2,0.2,0.3,0.5,0.5,0.0,1.9,0.8,4.6,007639,"BRANKOVIC, DANKO",24,https://media-cdn.incrowdsports.com/62e22400-6f30-4a28-9288-8df658855669.png,MUN,BAY,FC Bayern Munich,https://media-cdn.incrowdsports.com/817b0e58-d595-4b09-ab0b-1e7cc26249ff.png
157,27.0,4.0,15.05493827160494,4.2,1.5,2.7,54.1%,0.2,1.3,16.7%,0.6,1.0,55.6%,1.0,1.1,2.1,1.3,0.6,1.0,0.0,0.3,2.4,1.0,2.6,011631,"RAPIEQUE, ELIAS",20,https://media-cdn.incrowdsports.com/2adc2962-bb44-4461-8365-63e58f2861dc.png,BER,BER,ALBA Berlin,https://media-cdn.incrowdsports.com/ccc34858-22b0-47dc-904c-9940b0a16ff3.png
158,32.0,11.0,14.4609375,4.1,1.8,2.8,62.9%,0.0,0.1,0%,0.6,1.1,52.8%,1.7,1.9,3.6,0.5,0.3,0.7,0.5,0.3,2.0,1.4,5.8,008072,"DIOP, KHALIFA",22,https://media-cdn.cortextech.io/d78b882f-2f17-4f2a-8685-55cd7f75be1b.png,BAS,BKN,Baskonia Vitoria-Gasteiz,https://media-cdn.incrowdsports.com/e324a6af-2a72-443e-9813-8bf2d364ddab.png
159,34.0,16.0,15.699019607843137,4.1,1.7,2.7,62.4%,0.0,0.1,0%,0.7,1.1,63.9%,1.7,1.6,3.3,0.9,0.5,0.6,0.5,0.1,2.8,1.0,5.4,003048,"DUNSTON, BRYANT",38,https://media-cdn.cortextech.io/e3c4915b-e70f-4813-9bdb-43bbbc606e33.png,ZAL,ZAL,Zalgiris Kaunas,https://media-cdn.incrowdsports.com/0aa09358-3847-4c4e-b228-3582ee4e536d.png
160,28.0,5.0,9.81904761904762,4.1,1.4,2.1,65%,0.0,0.2,16.7%,1.2,1.3,89.2%,0.7,0.8,1.5,0.5,0.1,0.3,0.0,0.1,1.2,1.0,4.4,005460,"HARRIS, ELIAS",35,https://media-cdn.cortextech.io/214b4fa2-16fd-4ef9-b8ac-b08745e7628f.png,MUN,BAY,FC Bayern Munich,https://media-cdn.incrowdsports.com/817b0e58-d595-4b09-ab0b-1e7cc26249ff.png
161,26.0,20.0,20.231410256410257,4.0,0.8,1.7,50%,0.7,1.9,34%,0.3,0.5,61.5%,0.5,1.8,2.3,4.6,1.0,1.5,0.1,0.1,2.6,1.7,7.2,008855,"WALKUP, THOMAS",32,https://media-cdn.cortextech.io/5a798730-2697-4550-b3b3-df119a860b18.png,OLY,OLY,Olympiacos Piraeus,https://media-cdn.incrowdsports.com/789423ac-3cdf-4b89-b11c-b458aa5f59a6.png
162,27.0,9.0,14.096913580246914,3.9,1.3,2.0,65.5%,0.3,1.3,23.5%,0.4,0.7,50%,0.9,2.2,3.1,0.6,0.6,0.6,0.4,0.2,2.6,0.6,3.8,007630,"GARUBA, USMAN",22,https://media-cdn.cortextech.io/fb919f50-9e7d-4bbf-af92-3763895ba6b7.png,MAD,RMB,Real Madrid,https://media-cdn.incrowdsports.com/371b0d9b-9250-4c09-bda7-0686cf024657.png
163,23.0,13.0,15.357971014492755,3.9,1.0,1.7,63.2%,0.4,1.7,25.6%,0.5,0.8,57.9%,1.0,1.4,2.4,0.7,0.6,0.6,0.1,0.1,1.8,1.0,4.0,011836,"MIKE, ISIAHA",27,https://media-cdn.cortextech.io/ecbfbe3b-017a-4082-b76b-5ad895a1b047.png,PAR,PAR,Partizan Mozzart Bet Belgrade,https://media-cdn.incrowdsports.com/2681304e-77dd-4331-88b1-683078c0fb49.png
164,27.0,7.0,12.784567901234569,3.9,1.0,1.7,60.9%,0.5,1.6,29.5%,0.3,0.5,69.2%,0.7,1.5,2.2,1.2,0.6,0.5,1.0,0.0,2.1,0.6,4.7,008232,"POKUSEVSKI, ALEKSEJ",23,https://media-cdn.cortextech.io/48c507e4-5d3d-45fa-8178-80cfacc0fdcc.png,PAR,PAR,Partizan Mozzart Bet Belgrade,https://media-cdn.incrowdsports.com/2681304e-77dd-4331-88b1-683078c0fb49.png
165,28.0,10.0,12.549404761904762,3.8,1.0,1.5,65.9%,0.4,0.9,40%,0.8,1.0,82.1%,0.3,1.5,1.8,0.5,0.4,0.3,0.2,0.1,1.6,1.0,4.4,007960,"DAVIDOVAC, DEJAN",29,https://media-cdn.cortextech.io/1f3790c6-a754-4e43-b322-9c50695d71d5.png,RED,CZV,Crvena Zvezda Meridianbet Belgrade,https://media-cdn.incrowdsports.com/d2eef4a8-62df-4fdd-9076-276004268515.png
166,28.0,0.0,10.33095238095238,3.7,1.5,2.1,68.3%,0.0,0.0,0%,0.8,1.4,57.9%,1.0,1.3,2.3,0.4,0.1,1.1,0.1,0.1,2.4,1.3,3.2,008991,"BLACK, TARIK",33,https://media-cdn.incrowdsports.com/31431122-8f94-41c1-ae56-2c34657c17c3.png,ASV,ASV,LDLC ASVEL Villeurbanne,https://media-cdn.incrowdsports.com/e33c6d1a-95ca-4dbc-b8cb-0201812104cc.png
167,22.0,3.0,15.02727272727273,3.6,0.8,1.8,46.2%,0.5,2.2,25%,0.4,0.4,100%,0.4,1.1,1.5,0.6,0.2,0.5,0.0,0.2,1.7,0.9,1.8,000229,"JACKSON, EDWIN",35,https://media-cdn.cortextech.io/b6d8b256-85dc-407d-a292-9d54802109cf.png,ASV,ASV,LDLC ASVEL Villeurbanne,https://media-cdn.incrowdsports.com/e33c6d1a-95ca-4dbc-b8cb-0201812104cc.png
168,32.0,15.0,15.1125,3.6,0.5,0.7,65.2%,0.8,1.8,44.8%,0.2,0.2,100%,0.6,1.9,2.5,0.4,0.4,0.4,0.2,0.0,2.5,0.3,3.2,001518,"RICCI, GIAMPAOLO",33,https://media-cdn.cortextech.io/f5767f49-5fc2-4639-95ef-06246240ca9b.png,MIL,EA7,EA7 Emporio Armani Milan,https://media-cdn.cortextech.io/9512ee73-a0f1-4647-a01e-3c2938aba6b8.png
169,25.0,19.0,13.978,3.6,0.7,1.3,54.5%,0.6,1.8,34.1%,0.3,0.5,66.7%,0.7,1.7,2.4,0.5,0.6,0.2,0.1,0.0,1.4,0.7,4.2,009213,"NDIAYE, ELI",20,https://media-cdn.incrowdsports.com/2ce6d0d0-375c-468c-8af4-40b1dfdcad00.png,MAD,RMB,Real Madrid,https://media-cdn.incrowdsports.com/371b0d9b-9250-4c09-bda7-0686cf024657.png
170,27.0,13.0,11.079629629629629,3.5,0.9,1.4,60.5%,0.5,1.7,28.9%,0.3,0.4,75%,0.3,0.8,1.1,0.4,0.5,0.6,0.1,0.0,1.3,0.6,2.3,004007,"DOBRIC, OGNJEN",30,https://media-cdn.cortextech.io/80c68581-78c5-44b8-b3ea-21555bfaff4f.png,RED,CZV,Crvena Zvezda Meridianbet Belgrade,https://media-cdn.incrowdsports.com/d2eef4a8-62df-4fdd-9076-276004268515.png
171,36.0,19.0,13.665277777777778,3.5,1.3,2.3,58.5%,0.0,0.0,0%,0.8,1.1,72.5%,1.6,2.0,3.7,0.6,0.4,0.9,0.4,0.0,2.3,1.1,5.2,007182,"BIRCH, KHEM",32,https://media-cdn.cortextech.io/07341c6e-b835-4434-bf94-87314dea546b.png,ULK,FBB,Fenerbahce Beko Istanbul,https://media-cdn.cortextech.io/3b7f020e-5b39-49a1-b4b2-efea918edab7.png
172,23.0,8.0,9.835507246376812,3.4,0.7,1.6,44.4%,0.3,1.2,29.6%,1.0,1.2,85.2%,0.3,0.7,1.0,0.3,0.4,0.8,0.0,0.2,1.1,1.6,2.9,012591,"TUCKER, RAYJON",27,https://media-cdn.incrowdsports.com/8dcf5706-93ef-4be4-a5c2-6c1d8c6bbbe3.png,VIR,VIR,Virtus Bologna,https://media-cdn.cortextech.io/1362801d-dd09-4fd0-932d-ead56063ab77.png
173,25.0,1.0,11.550666666666666,3.3,0.7,1.4,50%,0.4,1.2,36.7%,0.6,0.7,94.1%,0.6,1.5,2.0,0.8,0.3,0.4,0.2,0.2,0.8,1.0,4.8,010560,"PIERRE, DYSHAWN",31,https://media-cdn.incrowdsports.com/7f04a6d9-d458-47c5-a453-b089904b8992.png,ULK,FBB,Fenerbahce Beko Istanbul,https://media-cdn.cortextech.io/3b7f020e-5b39-49a1-b4b2-efea918edab7.png
174,24.0,11.0,8.936111111111112,3.3,0.3,0.7,43.8%,0.9,2.3,37.5%,0.1,0.2,50%,0.2,1.0,1.2,0.3,0.2,0.3,0.0,0.0,1.2,0.3,1.9,012715,"MANEK, BRADY",26,https://media-cdn.incrowdsports.com/a71d0828-d073-452d-802b-7a82e66b4f1e.png,ZAL,ZAL,Zalgiris Kaunas,https://media-cdn.incrowdsports.com/0aa09358-3847-4c4e-b228-3582ee4e536d.png
175,29.0,4.0,14.378160919540228,3.2,0.9,2.1,44.3%,0.2,1.2,16.7%,0.8,1.0,75.9%,0.7,1.7,2.3,0.9,0.3,0.8,0.0,0.3,1.9,1.3,2.7,012622,"MITCHELL, MATTHEW",25,https://media-cdn.cortextech.io/e4dcdc8b-c59a-426e-8605-116d19203045.png,ZAL,ZAL,Zalgiris Kaunas,https://media-cdn.incrowdsports.com/0aa09358-3847-4c4e-b228-3582ee4e536d.png
176,27.0,6.0,15.406172839506171,3.2,0.7,1.3,55.6%,0.5,1.1,45.2%,0.2,0.3,55.6%,0.4,1.5,1.9,1.1,0.3,0.3,0.1,0.1,1.1,0.7,4.5,006509,"TONUT, STEFANO",31,https://media-cdn.cortextech.io/b7367896-700a-4f7e-9a0b-a1425632b23b.png,MIL,EA7,EA7 Emporio Armani Milan,https://media-cdn.cortextech.io/9512ee73-a0f1-4647-a01e-3c2938aba6b8.png
177,27.0,1.0,11.52716049382716,3.1,0.7,1.3,55.9%,0.4,1.3,31.4%,0.5,0.8,66.7%,0.9,1.6,2.4,0.4,0.4,0.5,0.3,0.0,0.8,0.8,4.4,009664,"WILLIS, DEREK",29,https://media-cdn.cortextech.io/82d66d17-bc9a-4994-8a8f-c59b5db9df70.png,IST,EFS,Anadolu Efes Istanbul,https://media-cdn.cortextech.io/9a463aa2-ceb2-481c-9a95-1cddee0a248e.png
178,35.0,3.0,13.516190476190475,3.1,0.5,0.8,57.1%,0.6,1.4,45.8%,0.3,0.5,62.5%,0.8,1.3,2.1,0.4,0.4,0.5,0.3,0.1,1.5,0.6,3.4,005793,"SY, BANDJA",34,https://media-cdn.incrowdsports.com/a07f3230-7935-48ea-89d0-e323d7374266.png,PRS,PBB,Paris Basketball,https://media-cdn.incrowdsports.com/a033e5b3-0de7-48a3-98d9-d9a4b9df1f39.png
179,23.0,0.0,7.017391304347826,2.9,0.8,1.4,59.4%,0.3,0.9,28.6%,0.4,0.7,58.8%,0.1,0.7,0.7,0.5,0.2,0.9,0.1,0.3,1.1,0.7,1.2,012123,"KHARCHENKOV, IVAN",18,https://media-cdn.incrowdsports.com/3eb9cca0-1820-4e97-9745-16e629bb9a89.png,MUN,BAY,FC Bayern Munich,https://media-cdn.incrowdsports.com/817b0e58-d595-4b09-ab0b-1e7cc26249ff.png
180,26.0,6.0,10.573717948717949,2.8,0.8,1.4,59.5%,0.2,1.0,22.2%,0.5,0.8,57.1%,0.3,0.7,1.0,0.4,0.4,0.5,0.1,0.0,1.0,0.9,2.3,005161,"PAPAPETROU, IOANNIS",30,https://media-cdn.incrowdsports.com/34435fbb-b543-4cdd-84f6-62cf44448c88.png,PAN,PAO,Panathinaikos AKTOR Athens,https://media-cdn.incrowdsports.com/e3dff28a-9ec6-4faf-9d96-ecbc68f75780.png
181,36.0,0.0,10.934722222222222,2.8,1.0,1.6,64.9%,0.1,0.3,40%,0.4,0.6,72.7%,1.1,1.7,2.7,0.4,0.2,0.5,0.0,0.0,1.9,0.9,3.7,013373,"CAVALIERE, LEOPOLD",28,https://media-cdn.cortextech.io/1c8b9667-d931-4ace-ac5e-792f58d25cf4.png,PRS,PBB,Paris Basketball,https://media-cdn.incrowdsports.com/a033e5b3-0de7-48a3-98d9-d9a4b9df1f39.png
182,23.0,0.0,9.506521739130434,2.8,0.7,1.2,57.1%,0.2,0.7,33.3%,0.7,0.7,100%,0.6,0.9,1.5,0.4,0.1,0.6,0.0,0.2,1.1,0.6,2.6,005145,"COHEN, JAKE",34,https://media-cdn.incrowdsports.com/e8d3f0dc-cce9-4329-9d5b-03c76519199d.png,TEL,MTA,Maccabi Rapyd Tel Aviv,https://media-cdn.incrowdsports.com/5c55ef14-29df-4328-bd52-a7a64c432350.png
183,22.0,1.0,7.782575757575757,2.6,1.1,1.5,75.8%,0.0,0.0,0%,0.4,0.5,66.7%,0.9,0.6,1.5,0.3,0.2,0.4,0.5,0.2,1.8,0.6,2.7,006721,"CARUSO, GUGLIELMO",25,https://media-cdn.incrowdsports.com/29cec6e2-585d-42db-99e3-da503d3ada8e.png,MIL,EA7,EA7 Emporio Armani Milan,https://media-cdn.cortextech.io/9512ee73-a0f1-4647-a01e-3c2938aba6b8.png
184,33.0,8.0,11.39090909090909,2.6,0.5,1.2,40%,0.2,0.6,40%,0.9,1.2,75%,1.2,1.8,3.1,0.2,0.2,0.2,0.1,0.2,2.4,1.3,3.3,013381,"RAYMAN, WILLIAM",27,https://media-cdn.cortextech.io/ba0729de-ec3b-4e13-9479-f176f0c893fd.png,TEL,MTA,Maccabi Rapyd Tel Aviv,https://media-cdn.incrowdsports.com/5c55ef14-29df-4328-bd52-a7a64c432350.png
185,31.0,9.0,15.51774193548387,2.5,0.4,1.1,38.2%,0.4,1.2,36.1%,0.4,0.5,85.7%,0.3,1.7,2.0,1.7,0.4,0.9,0.0,0.0,2.4,1.2,2.9,001844,"HACKETT, DANIEL",37,https://media-cdn.cortextech.io/923cef2e-6352-41a8-8db1-791d21db3100.png,VIR,VIR,Virtus Bologna,https://media-cdn.cortextech.io/1362801d-dd09-4fd0-932d-ead56063ab77.png
186,29.0,5.0,13.328735632183909,2.4,0.2,0.7,36.8%,0.6,2.6,23%,0.2,0.2,85.7%,0.1,0.7,0.8,0.5,0.5,0.3,0.0,0.2,1.8,1.0,0.4,007025,"MATTISSECK, JONAS",24,https://media-cdn.incrowdsports.com/f233c467-32fb-41af-807b-07660af5fa2c.png,BER,BER,ALBA Berlin,https://media-cdn.incrowdsports.com/ccc34858-22b0-47dc-904c-9940b0a16ff3.png
187,23.0,6.0,11.567391304347826,2.2,0.3,0.7,53.3%,0.3,0.9,38.1%,0.5,0.7,73.3%,0.7,1.5,2.3,0.4,1.0,0.0,0.3,0.0,1.7,0.6,4.0,012515,"TARPEY, TERRY",30,https://media-cdn.cortextech.io/fe28df16-a99d-4da3-b71b-26bfa79b80eb.png,MCO,ASM,AS Monaco,https://media-cdn.incrowdsports.com/89ed276a-2ba3-413f-8ea2-b3be209ca129.png
188,22.0,0.0,10.112121212121211,2.0,0.4,1.4,29%,0.3,1.2,23.1%,0.3,0.5,63.6%,0.3,0.3,0.5,1.6,0.5,0.6,0.0,0.0,1.4,0.9,1.4,004058,"JARAMAZ, OGNJEN",29,https://media-cdn.incrowdsports.com/f0031d55-9883-419a-ae1d-775c39ad4af8.png,BAS,BKN,Baskonia Vitoria-Gasteiz,https://media-cdn.incrowdsports.com/e324a6af-2a72-443e-9813-8bf2d364ddab.png
189,30.0,1.0,7.545555555555556,1.9,0.3,0.9,35.7%,0.3,0.9,33.3%,0.4,0.5,68.8%,0.2,1.0,1.3,0.3,0.1,0.5,0.3,0.1,1.2,0.5,1.2,011649,"GONZALEZ, HUGO",18,https://media-cdn.incrowdsports.com/0ab7dbc1-b9a7-4360-b004-2f3c68012071.png,MAD,RMB,Real Madrid,https://media-cdn.incrowdsports.com/371b0d9b-9250-4c09-bda7-0686cf024657.png
190,32.0,10.0,7.355729166666666,1.8,0.5,0.9,55.2%,0.1,0.7,19%,0.4,0.6,72.2%,0.3,0.4,0.8,0.4,0.5,0.3,0.0,0.1,1.1,0.5,1.3,011209,"KALAITZAKIS, PANAGIOTIS",25,https://media-cdn.cortextech.io/370cc8f6-6da8-4a99-bf1c-d0390cf2f6fd.png,PAN,PAO,Panathinaikos AKTOR Athens,https://media-cdn.incrowdsports.com/e3dff28a-9ec6-4faf-9d96-ecbc68f75780.png
